275;arms_factory;3243.00;13.88;226.00;1.19;0
275;industrial_complex;3245.00;13.90;228.00;2.81;0
415;bunker;3775.00;11.82;1201.00;1.88;0
553;arms_factory;3365.00;11.13;1208.00;1.65;0
275;radar_station;3229.00;14.13;221.00;1.74;0
553;radar_station;3366.00;11.07;1211.00;5.13;0
275;supply_node;3242.00;13.85;227.00;3.52;0
12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
85;floating_harbor;3111.82;9.50;1613.88;-0.98;362
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
178;floating_harbor;2540.00;9.50;1113.00;1.57;13071
189;floating_harbor;3127.07;9.50;1642.01;-4.57;6314
270;floating_harbor;1067.00;9.50;304.00;-2.23;1280
281;floating_harbor;3939.33;9.50;745.97;0.10;4967
320;floating_harbor;4059.79;9.50;838.30;-1.82;10149
321;floating_harbor;3950.21;9.50;892.30;-4.47;1273
360;floating_harbor;1647.00;9.50;1506.00;-2.68;6845
488;floating_harbor;1862.88;9.50;1010.82;-0.59;1981
631;floating_harbor;32.00;9.50;1109.00;-3.14;13052
632;floating_harbor;5415.00;9.50;945.00;-2.68;13047
638;floating_harbor;5086.00;9.50;847.00;-2.02;12140
642;floating_harbor;104.00;9.50;600.00;-3.14;13050
679;floating_harbor;3427.00;9.50;971.00;-3.14;12883
695;floating_harbor;1708.21;9.50;1071.70;1.33;153
706;floating_harbor;3664.87;9.50;303.74;-3.61;13017
707;floating_harbor;3703.05;9.50;322.05;-3.93;13018
713;floating_harbor;3985.00;9.50;41.00;-0.59;2165
729;floating_harbor;4579.95;9.50;1005.05;-2.36;4189
730;floating_harbor;1925.00;9.50;1686.00;0.00;373
734;floating_harbor;5390.74;9.50;470.87;-4.25;7390
735;floating_harbor;2921.21;9.50;1385.36;-2.82;9909
736;floating_harbor;3030.13;9.50;1408.74;-2.68;11735
738;floating_harbor;4881.59;9.50;566.99;0.06;4579
739;floating_harbor;753.00;9.50;1800.00;-2.23;1869
743;floating_harbor;4684.70;9.50;1246.21;-2.90;10000
772;floating_harbor;2977.74;9.50;577.87;-4.25;12975
796;floating_harbor;2989.62;9.50;559.52;-4.02;2115
844;floating_harbor;3467.01;9.50;628.27;-2.53;12941
683;floating_harbor;1377.81;9.50;1902.41;-0.41;10605
862;floating_harbor;1568.30;9.50;1777.79;0.24;11682
5;floating_harbor;3111.84;9.50;1614.40;-0.42;3380
7;floating_harbor;2883.00;9.50;1587.00;0.00;3314
15;floating_harbor;2775.18;9.50;1498.88;0.98;9550
29;floating_harbor;2816.00;9.50;1519.00;-4.33;9500
30;floating_harbor;2763.74;9.50;1459.87;-4.25;11465
31;floating_harbor;2861.00;9.50;1380.00;-1.57;3946
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
101;floating_harbor;2076.85;9.50;1859.34;-3.45;12512
105;floating_harbor;3101.40;9.50;1354.50;-3.52;9809
113;floating_harbor;2707.86;9.50;1591.37;-1.37;7377
127;floating_harbor;2788.05;9.50;1540.05;-3.93;11446
156;floating_harbor;3048.50;9.50;1302.60;1.19;12066
160;floating_harbor;3004.95;9.50;1420.87;-1.45;9582
161;floating_harbor;3006.00;9.50;1414.00;-1.57;6793
177;floating_harbor;2842.36;9.50;1312.79;-4.39;9793
180;floating_harbor;2662.00;9.50;1347.00;1.57;9817
182;floating_harbor;3191.12;9.50;1224.18;-3.73;9940
183;floating_harbor;3307.40;9.50;1221.80;-4.07;7193
197;floating_harbor;3295.00;9.50;1420.00;-3.31;11546
268;floating_harbor;3485.26;9.50;837.87;-2.03;4985
297;floating_harbor;2949.00;9.50;705.00;-1.57;1903
298;floating_harbor;2629.24;9.50;749.02;-4.11;7959
317;floating_harbor;1508.83;9.50;1083.48;-1.79;2075
332;floating_harbor;1882.00;9.50;1868.00;0.50;4720
358;floating_harbor;1693.00;9.50;1552.00;-1.93;859
454;floating_harbor;3338.05;9.50;1172.95;0.79;4088
462;floating_harbor;2632.36;9.50;1126.21;1.25;5046
465;floating_harbor;1797.82;9.50;1690.88;-0.98;4432
468;floating_harbor;1800.00;9.50;1725.00;-1.15;12149
471;floating_harbor;769.04;9.50;1837.33;-4.16;1799
474;floating_harbor;1446.59;9.50;1190.35;-1.23;4965
479;floating_harbor;1286.82;9.50;1237.57;-1.34;5021
481;floating_harbor;1120.30;9.50;1260.93;-4.09;8057
518;floating_harbor;5064.26;9.50;41.13;-1.11;10665
521;floating_harbor;5072.90;9.50;375.15;-1.41;12367
526;floating_harbor;4805.95;9.50;1087.95;-0.79;10124
532;floating_harbor;4978.00;9.50;1209.00;-2.05;10125
537;floating_harbor;5054.00;9.50;1494.40;-2.11;1820
539;floating_harbor;2944.08;9.50;648.94;-4.56;5139
546;floating_harbor;3432.99;9.50;568.35;-1.52;8183
550;floating_harbor;3463.95;9.50;877.95;-0.79;8043
610;floating_harbor;4697.47;9.50;1330.63;-2.25;6837
629;floating_harbor;427.00;9.50;973.00;-3.14;10048
635;floating_harbor;5422.99;9.50;409.70;0.29;12120
636;floating_harbor;5570.00;9.50;363.00;1.57;7302
639;floating_harbor;5515.00;9.50;668.00;-1.57;13021
643;floating_harbor;5596.00;9.50;501.00;-3.44;13056
